指标分类,指标名称,2023,数据来源
总量数据,高校毕业生总人数(人),161125,内蒙古自治区教育厅2023届年度就业报告
总量数据,留区就业比例(%),77.43,内蒙古自治区教育厅2023届年度就业报告
总量数据,留区就业人数(人),124726,内蒙古自治区教育厅2023届年度就业报告
分学历留区比例,专科生留区比例(%),82.95,内蒙古自治区教育厅2023届年度就业报告
分学历留区比例,本科生留区比例(%),73.94,内蒙古自治区教育厅2023届年度就业报告
分学历留区比例,研究生留区比例(%),64.31,内蒙古自治区教育厅2023届年度就业报告
就业单位类型,民营企业占比(%),68.12,内蒙古自治区教育厅2023届年度就业报告
就业单位类型,国有企业占比(%),13.15,内蒙古自治区教育厅2023届年度就业报告
就业单位类型,事业单位占比(%),12.24,内蒙古自治区教育厅2023届年度就业报告
就业单位类型,机关单位占比(%),4.99,内蒙古自治区教育厅2023届年度就业报告
就业单位类型,其他单位占比(%),1.50,内蒙古自治区教育厅2023届年度就业报告
就业行业分布,教育行业占比(%),22.75,内蒙古自治区教育厅2023届年度就业报告
就业行业分布,制造业占比(%),15.36,内蒙古自治区教育厅2023届年度就业报告
就业行业分布,公共管理占比(%),13.01,内蒙古自治区教育厅2023届年度就业报告
就业行业分布,信息技术占比(%),8.50,内蒙古自治区教育厅2023届年度就业报告
就业行业分布,建筑业占比(%),7.20,内蒙古自治区教育厅2023届年度就业报告
就业行业分布,金融业占比(%),5.80,内蒙古自治区教育厅2023届年度就业报告
就业行业分布,其他行业占比(%),27.38,内蒙古自治区教育厅2023届年度就业报告
重点高校,内蒙古大学毕业生总数(人),6333,内蒙古大学2023届就业质量报告
重点高校,内蒙古大学留蒙比例(%),66.38,内蒙古大学2023届就业质量报告
重点高校,内蒙古大学留蒙人数(人),4204,内蒙古大学2023届就业质量报告
重点高校,内蒙古师范大学毕业生总数(人),9272,内蒙古师范大学2023届就业质量报告
重点高校,内蒙古师范大学留蒙比例(%),76.32,内蒙古师范大学2023届就业质量报告
重点高校,内蒙古师范大学留蒙人数(人),7076,内蒙古师范大学2023届就业质量报告
